C copy string: r=a:bc;s=a:bdr;ars,brs,crs,drs; ineq: base20.txt
I  548.30] Elapsed: 9:08, vertices: 2571, facets final: 675, pending: 48140, pool: 300
I  553.37] Elapsed: 9:13, vertices: 2592, facets final: 689, pending: 47659, pool: 300
I  558.75] Elapsed: 9:19, vertices: 2615, facets final: 698, pending: 47452, pool: 300
I  563.81] Elapsed: 9:24, vertices: 2635, facets final: 708, pending: 47391, pool: 300
I  569.07] Elapsed: 9:29, vertices: 2656, facets final: 718, pending: 47725, pool: 300
I  574.17] Elapsed: 9:34, vertices: 2676, facets final: 730, pending: 47284, pool: 300
I  579.23] Elapsed: 9:39, vertices: 2696, facets final: 739, pending: 47158, pool: 300
I  584.24] Elapsed: 9:44, vertices: 2716, facets final: 757, pending: 47195, pool: 300
I  589.42] Elapsed: 9:49, vertices: 2737, facets final: 764, pending: 47006, pool: 300
I  594.51] Elapsed: 9:55, vertices: 2760, facets final: 781, pending: 46712, pool: 299
I  599.66] Elapsed: 10:00, vertices: 2781, facets final: 793, pending: 46659, pool: 300
I  604.71] Elapsed: 10:05, vertices: 2803, facets final: 806, pending: 46519, pool: 300
I  609.75] Elapsed: 10:10, vertices: 2823, facets final: 822, pending: 45924, pool: 300
I  614.84] Elapsed: 10:15, vertices: 2847, facets final: 844, pending: 45593, pool: 300
I  619.97] Elapsed: 10:20, vertices: 2871, facets final: 855, pending: 45328, pool: 300
I  624.97] Elapsed: 10:25, vertices: 2896, facets final: 876, pending: 44873, pool: 300
I  630.10] Elapsed: 10:30, vertices: 2916, facets final: 892, pending: 44942, pool: 300
I  635.16] Elapsed: 10:35, vertices: 2940, facets final: 907, pending: 44679, pool: 300
I  640.26] Elapsed: 10:40, vertices: 2963, facets final: 923, pending: 44258, pool: 300
I  645.34] Elapsed: 10:45, vertices: 2987, facets final: 938, pending: 43756, pool: 300
I  650.54] Elapsed: 10:51, vertices: 3010, facets final: 961, pending: 43176, pool: 300
I  655.56] Elapsed: 10:56, vertices: 3033, facets final: 972, pending: 42840, pool: 300
I  660.62] Elapsed: 11:01, vertices: 3059, facets final: 986, pending: 42497, pool: 300
I  665.78] Elapsed: 11:06, vertices: 3086, facets final: 999, pending: 42137, pool: 300
I  670.79] Elapsed: 11:11, vertices: 3110, facets final: 1022, pending: 41819, pool: 298
I  675.90] Elapsed: 11:16, vertices: 3134, facets final: 1044, pending: 41416, pool: 300
I  681.02] Elapsed: 11:21, vertices: 3159, facets final: 1072, pending: 40953, pool: 300
