C copy string: rs=cd:ab;tu=ar:bcs;vw=bt:acr
I 1788.44] Elapsed: 29:48, vertices: 198, facets final: 68, pending: 2352
I 1794.32] Elapsed: 29:54, vertices: 199, facets final: 68, pending: 2361
I 1813.73] Elapsed: 30:14, vertices: 200, facets final: 68, pending: 2362
I 1813.73] recalculating facets...
I 1822.18] Elapsed: 30:22, vertices: 201, facets final: 68, pending: 2360
I 1833.05] Elapsed: 30:33, vertices: 202, facets final: 68, pending: 2370
I 1841.83] Elapsed: 30:42, vertices: 203, facets final: 68, pending: 2384
I 1854.47] Elapsed: 30:54, vertices: 204, facets final: 68, pending: 2381
I 1864.16] Elapsed: 31:04, vertices: 206, facets final: 68, pending: 2418
I 1873.67] Elapsed: 31:14, vertices: 208, facets final: 69, pending: 2486
I 1880.94] Elapsed: 31:21, vertices: 208, facets final: 69, pending: 2486
Warning: numerical instability (primal simplex, phase II)
I 1893.51] Elapsed: 31:34, vertices: 209, facets final: 69, pending: 2499
I 1900.03] Elapsed: 31:40, vertices: 210, facets final: 69, pending: 2520
I 1906.80] Elapsed: 31:47, vertices: 211, facets final: 70, pending: 2539
I 1914.06] Elapsed: 31:54, vertices: 211, facets final: 70, pending: 2539
I 1924.00] Elapsed: 32:04, vertices: 212, facets final: 70, pending: 2506
I 1932.10] Elapsed: 32:12, vertices: 213, facets final: 71, pending: 2511
I 1941.76] Elapsed: 32:22, vertices: 213, facets final: 71, pending: 2511
I 1954.12] Elapsed: 32:34, vertices: 214, facets final: 71, pending: 2511
I 1968.84] Elapsed: 32:49, vertices: 215, facets final: 71, pending: 2510
I 1978.04] Elapsed: 32:58, vertices: 217, facets final: 71, pending: 2472
I 1991.70] Elapsed: 33:12, vertices: 218, facets final: 71, pending: 2497
I 2002.03] Elapsed: 33:22, vertices: 221, facets final: 71, pending: 2519
I 2007.35] Elapsed: 33:27, vertices: 222, facets final: 71, pending: 2508
I 2013.02] Elapsed: 33:33, vertices: 224, facets final: 71, pending: 2555
I 2024.01] Elapsed: 33:44, vertices: 225, facets final: 71, pending: 2541
I 2031.14] Elapsed: 33:51, vertices: 226, facets final: 71, pending: 2583
I 2040.70] Elapsed: 34:01, vertices: 227, facets final: 72, pending: 2580
I 2046.45] Elapsed: 34:06, vertices: 227, facets final: 73, pending: 2579
Warning: numerical instability (primal simplex, phase II)
I 2069.52] Elapsed: 34:30, vertices: 228, facets final: 73, pending: 2577
I 2075.21] Elapsed: 34:35, vertices: 229, facets final: 74, pending: 2581
I 2089.01] Elapsed: 34:49, vertices: 230, facets final: 75, pending: 2559
I 2096.00] Elapsed: 34:56, vertices: 232, facets final: 75, pending: 2577
I 2110.65] Elapsed: 35:11, vertices: 234, facets final: 75, pending: 2615
I 2120.04] Elapsed: 35:20, vertices: 236, facets final: 75, pending: 2634
I 2128.71] Elapsed: 35:29, vertices: 238, facets final: 75, pending: 2583
I 2134.11] Elapsed: 35:34, vertices: 239, facets final: 75, pending: 2612
I 2150.24] Elapsed: 35:50, vertices: 240, facets final: 75, pending: 2603
I 2163.19] Elapsed: 36:03, vertices: 241, facets final: 75, pending: 2639
I 2177.49] Elapsed: 36:17, vertices: 242, facets final: 75, pending: 2640
I 2183.59] Elapsed: 36:24, vertices: 243, facets final: 75, pending: 2625
I 2190.80] Elapsed: 36:31, vertices: 244, facets final: 76, pending: 2676
