# Entropy inequalities by Dougherty-Freiling-Zeger
# First 11 numbers are the coefficients,
#   then the copy string used
#   then the id of the inequality
#   then the indication whether is has been superseded
#
# The coordinates are:
# [a,b,c,d]  (a,b|c) (a,c|b) (b,c|a)  (a,b|d) (a,d|b) (b,d|a)
#            (c,d|a) (c,d|b) (c,d) (a,b|cd)
#
1, 1,1,1, 0,0,0, 0,0,0,0, r=c:ab, dfz:0:0, S
10, 3,3,0, 8,11,7, 0,0,0,0, rs=cd:ab;t=a:bcs;u=s:abcdt, dfz:75:75, S
12, 10,14,5, 11,9,0, 0,0,0,0, rs=cd:ab;t=r:ad;u=a:bdrt, dfz:76:76
4, 0,0,0, 10,9,1, 0,0,0,0, rs=ac:bd;t=(ar):bd;u=d:abrt, dfz:77:77
6, 0,8,5, 5,10,2, 0,0,0,0, rs=cd:ab;t=c:abrs;u=a:bdst, dfz:28:78
5, 6,4,2, 5,8,0, 0,0,0,0, rs=cd:ab;t=c:as;u=c:bdt, dfz:74:79, S
8, 6,13,4, 4,8,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=a:bdrt, dfz:80:80
10, 10,9,6, 2,7,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=c:abrt, dfz:71:81, S
8, 0,0,0, 9,9,5, 0,0,0,0, rs=ac:bd;t=d:abr;u=d:abrt, dfz:82:82
3, 5,1,4, 3,7,0, 0,0,0,0, rs=cd:ab;t=c:as;u=t:cs, dfz:83:83, S
8, 1,15,15, 0,6,6, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=(dr):abt, dfz:66:84, S
7, 1,21,21, 0,2,2, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=(cr):abt, dfz:85:85, S
5, 1,15,15, 0,0,0, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=(cr):abt, dfz:85:86
5, 1,5,5, 0,10,10, 0,0,0,0, rs=cd:ab;t=(cs):ab;u=(ds):abt, dfz:87:87
9, 1,19,19, 0,7,7, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=(dr):abt, dfz:66:88, S
6, 1,17,17, 0,1,1, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=(cr):abt, dfz:85:89, S
10, 7,11,11, 0,0,0, 0,0,0,0, rs=cd:ab;t=a:bcr;u=a:bcrt, dfz:34:90
4, 5,3,2, 1,7,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=(at):bcs, dfz:91:91, S
4, 2,5,4, 0,4,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=(bt):acr, dfz:92:92, S
4, 1,9,10, 0,0,0, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=a:bcrt, dfz:93:93
3, 1,5,5, 0,0,0, 0,0,0,0, rs=cd:ab;t=a:bcr;u=t:acr, dfz:94:94
6, 2,2,0, 7,3,5, 0,10,0,0, rs=ac:bd;t=d:bcr;u=t:rs, dfz:95:95
3, 1,4,5, 1,1,0, 0,0,0,0, rs=cd:ab;t=a:bcr;u=t:acs, dfz:96:96
7, 18,18,1, 6,6,0, 0,0,0,0, rs=cd:ab;t=c:ar;u=t:ad, dfz:97:97
10, 7,8,9, 0,4,2, 0,0,0,0, rs=cd:ab;t=a:bcs;u=a:bcst, dfz:40:98, S
9, 7,14,4, 6,9,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=(rt):ad, dfz:99:99
9, 1,18,18, 0,8,8, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=(cs):abt, dfz:100:100, S
7, 8,6,3, 5,7,0, 0,0,0,0, rs=cd:ab;t=c:as;u=t:cs, dfz:83:101, S
3, 3,5,1, 0,1,3, 0,0,0,0, rs=cd:ab;t=c:abrs;u=t:adr, dfz:102:102
5, 4,6,2, 5,5,0, 0,0,0,0, rs=cd:ab;t=c:as;u=t:abc, dfz:103:103, S
7, 28,28,1, 4,4,0, 0,0,0,0, rs=cd:ab;t=r:ac;u=s:at, dfz:104:104
4, 3,5,1, 9,8,0, 0,0,0,0, rs=cd:ab;t=c:as;u=t:ad, dfz:105:105
7, 12,2,11, 0,12,1, 0,0,0,0, rs=cd:ab;t=a:bcs;u=b:acrt, dfz:106:106, S
4, 0,0,0, 9,1,9, 0,7,0,0, rs=ac:bd;t=d:abs;u=t:br, dfz:107:107
4, 0,0,0, 9,10,1, 0,0,0,0, rs=ac:bd;t=(ar):bd;u=b:adrt, dfz:108:108
3, 0,0,0, 5,5,1, 0,0,0,0, rs=ac:bd;t=b:adr;u=t:abr, dfz:109:109
3, 1,1,0, 3,2,2, 0,5,0,0, rs=ac:bd;t=d:bcr;u=t:rs, dfz:95:110
4, 5,8,1, 0,2,3, 0,0,0,0, rs=cd:ab;t=a:bcr;u=a:bdst, dfz:58:111
5, 2,11,6, 0,2,0, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=t:adr, dfz:112:112
5, 5,5,1, 10,10,0, 0,0,0,0, rs=cd:ab;t=c:as;u=t:ad, dfz:105:113
4, 7,1,7, 0,5,4, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:br, dfz:114:114
